prolific_pid,wtp1_fr,wtp1_sp,wtp1_us,wtp2_fr,wtp2_sp,wtp2_us,wtp4_fr,wtp4_sp,wtp4_us,wtp5_mid_fr,wtp5_mid_sp,wtp5_mid_us,wtp5_nyh_fr,wtp5_nyh_sp,wtp5_nyh_us,wtp5_nyl_fr,wtp5_nyl_sp,wtp5_nyl_us,wtp5_frh_fr,wtp5_frh_sp,wtp5_frh_us,wtp5_frl_fr,wtp5_frl_sp,wtp5_frl_us,wtp5_sph_fr,wtp5_sph_sp,wtp5_sph_us,wtp5_spl_fr,wtp5_spl_sp,wtp5_spl_us,wtp5_hgh_fr,wtp5_hgh_sp,wtp5_hgh_us,wtp5_low_fr,wtp5_low_sp,wtp5_low_us,age,gender,eth_white,eth_black,eth_native,eth_asian,eth_pacific,eth_hispanic,eth_mideast,eth_other,eth_skip,eth_othertxt,edu,inc,ms,child,hhsize,hhsizetxt,state,foodshopper,wineshopper,veg,buywine,wheredrink,wheredrinktxt,cons_red,cons_wht,cons_rose,cons_sweet,cons_sparkling,cons_fruit,cons_skip,freqdrink,freqdrink_sparkling,freqdrink_nywine,freqtasting,avgspend,familiar_champagne,familiar_cava,familiar_ny,quality_champagne,quality_cava,quality_ny,freqonlinepurch,freqreadreview,freqwritereview,buywineonline,buywineonline_txt,writewinereview,learn_rec,learn_salesperson,learn_ad,learn_instore,learn_specwebsite,learn_mag,learn_social,learn_reviews,learn_other,learn_skip,learn_othertxt,wt_price,wt_region,wt_winery,wt_expert,wt_consrec,wt_social,op_knowledgeable,op_expert,op_rarenotheard,op_heardmostnew,test_peppery,test_frregion,test_icewine
5bde832a4842880001308a01,20,20,10,20,20,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,7,2,4,0,2,NA,NA,1,1,1,5,1,,1,1,NA,NA,NA,NA,NA,3,1,-1,1,1,1,1,1,5,5,4,2,4,2,0,,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,,5,2,3,2,5,1,2,1,1,1,5,5,5
5cfe85c30aadc80016e9e197,30,20,10,30,20,10,30,20,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,15,10,NA,NA,NA,NA,NA,NA,33,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,1,0,2,NA,NA,1,1,1,4,1,,NA,NA,1,1,NA,NA,NA,3,1,0,0,1,5,3,1,5,4,3,0,4,2,0,,0,1,NA,NA,1,NA,NA,NA,1,NA,NA,,4,4,1,3,4,1,3,2,1,1,2,3,4
5caf66cd822bcd001afe9eb2,20,30,15,20,20,15,30,20,15,25,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,7,4,4,0,1,NA,NA,1,1,0,5,1,,1,1,NA,NA,NA,NA,NA,3,1,0,0,4,2,2,1,4,3,2,3,4,1,0,,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,4,3,3,5,4,2,2,1,1,1,2,4,1
5c5c7b424fff5700017eb384,20,18,17,25,23,21,13,15,18,NA,NA,NA,NA,NA,NA,20,20,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,1,0,2,NA,NA,0,0,0,5,2,,NA,1,1,NA,1,NA,NA,4,2,2,1,2,2,1,3,5,4,4,3,3,1,2,,0,1,NA,NA,1,NA,NA,NA,NA,NA,NA,,4,2,1,4,3,2,1,1,1,1,4,4,5
5a96de3d6219a30001d323fc,24,30,20,20,15,25,35,30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30,27,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,6,3,4,0,2,NA,NA,1,1,0,3,4,,1,1,NA,NA,NA,NA,NA,2,0,0,0,3,1,1,2,3,3,4,4,1,0,0,,0,1,NA,NA,NA,NA,NA,1,NA,NA,NA,,4,2,2,3,2,2,4,4,3,4,1,5,4
5c3ccf45ba6fab0001c50a87,25,15,8,25,15,8,25,12,7,NA,NA,NA,25,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,3,0,2,NA,NA,1,1,0,3,1,,1,NA,NA,NA,1,NA,NA,3,2,0,1,3,5,5,2,5,5,1,3,3,2,1,,0,NA,1,NA,NA,NA,1,NA,1,NA,NA,,4,4,1,3,3,1,5,5,1,1,1,3,4
57abc011f00139000156f638,20,20,20,20,20,20,20,20,20,NA,NA,NA,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,3,2,1,1,5,NA,NA,1,1,-1,3,1,,NA,1,1,1,1,1,NA,1,1,0,0,3,3,3,3,4,5,5,2,4,2,0,,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,,4,3,1,1,1,1,2,2,2,2,5,4,4
5aeb6714eb6e780001b1897c,18,10,10,18,10,10,18,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,3,1,1,3,NA,NA,1,1,0,5,1,,1,NA,NA,NA,1,NA,NA,4,3,1,2,1,3,3,1,5,3,3,2,3,2,0,,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,,5,1,1,1,3,1,3,2,1,1,2,5,3
5cfd3d9cd0e99c0016baf6c8,70,50,20,80,60,30,50,40,30,NA,NA,NA,NA,NA,NA,50,40,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,1,NA,NA,NA,NA,1,NA,NA,NA,,5,4,4,0,3,NA,NA,1,1,0,4,2,,1,1,NA,NA,NA,NA,NA,3,1,0,1,6,3,3,1,5,4,2,3,4,3,1,,0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,,2,5,3,4,5,3,2,3,2,2,5,4,4
581fcf9e8fbbba0001c0aa8a,30,25,20,30,25,20,30,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,25,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,1,0,2,NA,NA,1,0,0,4,1,,1,1,1,NA,NA,NA,NA,2,1,0,1,4,3,3,2,4,4,3,2,3,2,0,,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,,3,2,1,2,2,2,3,2,1,1,5,3,3
5d5095d9a22e38001a3cecf8,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,12.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.99,12.99,12.99,30,2,1,NA,NA,NA,NA,NA,NA,NA,NA,,5,2,4,0,2,NA,NA,1,1,0,4,2,,NA,1,NA,1,1,NA,NA,2,1,1,1,2,4,3,3,5,4,4,3,3,2,0,,0,1,NA,NA,NA,NA,NA,NA,1,NA,NA,,5,3,2,4,4,3,4,3,2,3,5,1,4
